,age,gender,time_spent,platform,interests,location,demographics
0,56,male,3,Instagram,Sports,United Kingdom,Urban
1,46,female,2,Facebook,Travel,United Kingdom,Urban
2,32,male,8,Instagram,Sports,Australia,Sub_Urban
3,60,non-binary,5,Instagram,Travel,United Kingdom,Urban
4,25,male,1,Instagram,Lifestlye,Australia,Urban
5,38,male,3,Facebook,Travel,United States,Urban
6,56,male,8,YouTube,Sports,United States,Urban
7,36,male,4,Instagram,Sports,Australia,Urban
8,40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban
9,28,non-binary,2,Instagram,Sports,Australia,Sub_Urban
10,28,female,7,YouTube,Lifestlye,United Kingdom,Urban
11,41,non-binary,5,Facebook,Sports,United States,Sub_Urban
12,53,non-binary,5,Facebook,Sports,Australia,Rural
13,57,female,6,Instagram,Lifestlye,United Kingdom,Urban
14,41,non-binary,9,YouTube,Travel,United States,Rural
15,20,male,6,Facebook,Sports,United Kingdom,Sub_Urban
16,39,male,8,Instagram,Travel,United States,Sub_Urban
17,19,female,7,Instagram,Sports,United Kingdom,Rural
18,41,female,9,Facebook,Sports,United States,Sub_Urban
19,61,female,4,Facebook,Sports,United States,Urban
20,47,male,2,Instagram,Sports,United Kingdom,Rural
21,55,non-binary,7,YouTube,Travel,Australia,Urban
22,19,male,6,YouTube,Travel,United States,Rural
23,38,female,1,YouTube,Sports,Australia,Sub_Urban
24,50,non-binary,9,Instagram,Sports,United Kingdom,Rural
25,29,non-binary,9,Facebook,Travel,Australia,Rural
26,39,male,2,Instagram,Lifestlye,Australia,Urban
27,61,female,3,Facebook,Lifestlye,Australia,Sub_Urban
28,42,male,5,YouTube,Travel,Australia,Urban
29,44,non-binary,5,YouTube,Sports,Australia,Sub_Urban
30,59,male,1,Facebook,Sports,United States,Urban
31,45,male,8,Facebook,Lifestlye,United States,Rural
32,33,female,8,Instagram,Lifestlye,United States,Urban
33,32,female,4,YouTube,Travel,United Kingdom,Sub_Urban
34,64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban
35,61,male,3,Instagram,Travel,United States,Rural
36,20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban
37,54,male,9,YouTube,Lifestlye,United States,Urban
